Time,0.3,0.5,1.0,2.5,5.0,10,Temperature,Pressure,Humidity
1771628124.8550975,303,66,12,0,0,0,18.2348828125,1005.8769755410741,32.68358593392053
1771628125.867272,303,66,12,0,0,0,18.189375,1005.8831301929973,32.54455569022312
1771628126.8783612,321,70,11,0,0,0,18.14171875,1005.8383027171814,32.4216585899839
1771628127.8896594,321,70,11,0,0,0,18.1005078125,1005.8111016147545,32.2994590834559
1771628128.9007428,321,70,11,0,0,0,18.06203125,1005.7935789554448,32.19376463955308
1771628129.9120193,315,70,10,0,0,0,18.023359375,1005.7824855323549,32.093521375939204
1771628130.925211,315,70,10,0,0,0,17.9878125,1005.766511683953,32.02050374853522
1771628131.9378421,315,70,10,0,0,0,17.95265625,1005.7545737370867,31.97442366545695
1771628132.950789,315,70,11,1,0,0,17.9122265625,1005.7523350803074,31.927900946029737
1771628133.9635937,315,70,11,1,0,0,17.8676953125,1005.7364119167491,31.902512649314474
1771628134.9757266,315,70,11,1,0,0,17.8290234375,1005.7252918267765,31.877647716261837
1771628135.9885929,327,76,14,1,0,0,17.789375,1005.7125196296433,31.852705592590866
1771628137.0012743,327,76,14,1,0,0,17.74796875,1005.693397626236,31.88127362561675
1771628138.0123038,327,76,14,1,0,0,17.71125,1005.6771056508203,31.904888264973284
1771628139.023332,309,72,13,1,0,0,17.678046875,1005.6532196028538,31.96639181280904
1771628140.0344288,309,72,13,1,0,0,17.645625,1005.6272691152838,32.02798413130448
1771628141.0455759,309,72,13,1,0,0,17.6114453125,1005.5932830596579,32.10018852159036
1771628142.0570216,246,64,8,1,0,0,17.5753125,1005.5644494672143,32.1937542145143
1771628143.069796,246,64,8,1,0,0,17.53390625,1005.5351670715701,32.2761446227062
1771628144.0828187,246,64,8,1,0,0,17.4801953125,1005.5138472735248,32.33057504383098
1771628145.095794,252,70,8,1,0,0,17.4227734375,1005.4947051307042,32.37930697545709
1771628146.1092567,252,70,8,1,0,0,17.3675,1005.4842426591041,32.3905587385714
1771628147.1221645,252,70,8,1,0,0,17.31828125,1005.4586479149731,32.39158335583876
1771628148.1351252,240,64,6,2,0,0,17.274921875,1005.429419726966,32.398509181372305
1771628149.148081,240,64,6,2,0,0,17.2352734375,1005.4132016541022,32.4649724345326
1771628150.160956,240,64,6,2,0,0,17.1934765625,1005.395042963857,32.58513579457132
1771628151.1739092,246,66,7,2,0,0,17.1508984375,1005.3637416580355,32.71070571544121
1771628152.1875615,246,66,7,2,0,0,17.1096875,1005.3364311937871,32.831093727502875
1771628153.198734,246,66,7,2,0,0,17.06671875,1005.3061512548461,32.935208851872936
1771628154.2098246,258,70,13,2,0,0,17.0253125,1005.2751268669745,33.02871926172731
1771628155.2208538,258,70,13,2,0,0,16.9833203125,1005.2464864027074,33.13303758343044
1771628156.2318873,258,70,13,2,0,0,16.9383984375,1005.224714562195,33.23174365343644
1771628157.2431417,240,68,16,2,0,0,16.892890625,1005.2103871744271,33.325037691389035
1771628158.2560332,240,68,16,2,0,0,16.8425,1005.1861265634817,33.369204934386964
1771628159.268978,240,68,16,2,0,0,16.7938671875,1005.1901373345994,33.42436921448425
1771628160.2813554,222,59,16,2,0,0,16.7425,1005.1861482167878,33.45221718248658
1771628161.294665,222,59,16,2,0,0,16.686640625,1005.1813165248501,33.447165603910804
1771628162.307664,222,59,16,2,0,0,16.63,1005.1667178782984,33.43663196011241
1771628163.320549,258,73,15,1,0,0,16.5770703125,1005.1617442991509,33.42643801179169
1771628164.333432,258,73,15,1,0,0,16.52765625,1005.1593189629582,33.40574026463891
1771628165.3453114,258,73,15,1,0,0,16.4633984375,1005.1571294375793,33.38371285742873
1771628166.3578448,252,71,13,1,0,0,16.39015625,1005.161680864656,33.38252712335504
1771628167.3708496,252,71,13,1,0,0,16.3032421875,1005.1599899333861,33.39634438248102
1771628168.3837273,252,71,13,1,0,0,16.1989453125,1005.1592660323284,33.40860026214163
1771628169.3966208,240,67,13,1,0,0,16.0923046875,1005.1629652029151,33.45310780139771
1771628170.4095106,240,67,13,1,0,0,15.9798046875,1005.1617739935255,33.51873941293435
1771628171.4224827,240,67,13,1,0,0,15.869062499999998,1005.1702365739668,33.665765278897446
1771628172.4355128,204,59,14,1,0,0,15.75734375,1005.1685681746634,33.85617931476009
1771628173.4484534,204,59,14,1,0,0,15.653437499999999,1005.1699359968256,34.02035154317032
1771628174.4613607,204,59,14,1,0,0,15.546015624999999,1005.1619471509362,34.14631625259052
1771628175.4742866,192,53,14,1,0,0,15.4426953125,1005.1658925444942,34.28359875548995
1771628176.4871802,192,53,14,1,0,0,15.328828125000001,1005.1637519792553,34.392811872845364
1771628177.499539,192,53,14,1,0,0,15.211640625000001,1005.150892693859,34.50721339628605
1771628178.5125055,222,65,22,0,0,0,15.0962109375,1005.1493642576371,34.610942744469185
1771628179.52913,222,65,22,0,0,0,14.985859375,1005.1428996331022,34.73152662949013
1771628180.540193,222,65,22,0,0,0,14.885859374999999,1005.1471548500596,34.83677447996075
1771628181.5513213,240,73,24,0,0,0,14.785078124999998,1005.1550904844787,34.94199957288923
1771628182.5623784,240,73,24,0,0,0,14.667695312500001,1005.1567697806584,35.06211349055377
1771628183.5734453,240,73,24,0,0,0,14.53078125,1005.15562326334,35.15318329523905
1771628184.584669,258,77,17,0,0,0,14.392695312499999,1005.1507307368012,35.260562578729456
1771628185.5974157,258,77,17,0,0,0,14.268671874999999,1005.1628242375701,35.39115446863127
1771628186.6101503,258,77,17,0,0,0,14.1313671875,1005.1607749349105,35.52058951943898
1771628187.6228647,264,77,15,0,0,0,13.988007812500001,1005.1702398496229,35.644060261059934
1771628188.634949,264,77,15,0,0,0,13.859296874999998,1005.1708064822892,35.7799133130006
1771628189.6477995,264,77,15,0,0,0,13.7426953125,1005.15988657098,35.9389071011889
1771628190.6607304,312,94,18,0,0,0,13.621015624999998,1005.1604649179608,36.06463082648542
1771628191.6736395,312,94,18,0,0,0,13.497578125,1005.156322317067,36.212219861428395
1771628192.686574,312,94,18,0,0,0,13.375703125000001,1005.1530814787028,36.343575496924224
1771628193.6994672,288,84,21,0,0,0,13.2583203125,1005.1540279937743,36.5029244891244
1771628194.7135143,288,84,21,0,0,0,13.147187500000001,1005.148719522786,36.65198055258956
1771628195.7263691,288,84,21,0,0,0,13.032929687500001,1005.1380644830607,36.81737414464678
1771628196.7391696,330,98,21,0,0,0,12.923749999999998,1005.1326043031269,36.97235871019204
1771628197.751103,330,98,21,0,0,0,12.803828124999999,1005.1491439914226,37.126441118399065
1771628198.764065,330,98,21,0,0,0,12.686640624999999,1005.1534794042623,37.29746755173183
1771628199.779548,387,114,24,0,0,0,12.559296875000001,1005.1573042707257,37.45661311027814
1771628200.7921813,387,114,24,0,0,0,12.431757812499999,1005.1573726812836,37.621394396928984
1771628201.8047168,387,114,24,0,0,0,12.3118359375,1005.1552004039378,37.7870381109786
1771628202.8160272,450,134,24,0,0,0,12.196992187500001,1005.1582248183134,37.98656859001869
1771628203.8270736,450,134,24,0,0,0,12.084687500000001,1005.1621451982322,38.17544966659118
1771628204.8381534,450,134,24,0,0,0,11.975703124999999,1005.1615897137431,38.3981782747119
1771628205.8494205,462,136,24,0,0,0,11.867304687499999,1005.167000298683,38.58784357374827
1771628206.8621984,462,136,24,0,0,0,11.770624999999999,1005.1738173830785,38.79554789353819
1771628207.8745744,462,136,24,0,0,0,11.681562499999998,1005.1734229298067,38.98749870318419
1771628208.8865995,483,132,16,0,0,0,11.593671874999998,1005.1733079494381,39.179762644284416
1771628209.8991394,483,132,16,0,0,0,11.501679687500001,1005.1661993318462,39.36623300657072
1771628210.9115837,483,132,16,0,0,0,11.413789062500001,1005.1643422582641,39.542103022887254
1771628211.923806,477,130,16,1,1,0,11.330195312499999,1005.1597039170214,39.746565824996345
1771628212.9359877,477,130,16,1,1,0,11.254609375000001,1005.1686275298243,39.94083618330281
1771628213.9481595,477,130,16,1,1,0,11.191132812500001,1005.1679645646502,40.13090568132269
1771628214.9592204,504,141,17,2,1,0,11.1284375,1005.1635916429468,40.360603251207
1771628215.9703383,504,141,17,2,1,0,11.0637890625,1005.1625774057394,40.6298182160475
1771628216.9814215,504,141,17,2,1,0,10.993671875,1005.1539331099848,40.893259713645605
